City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Nantucket,US,80.74,haze,41.2835,-70.0995,Jared Coffin House
422,Norsup,VU,77.63,clear sky,-16.0667,167.3833,Nabelchel Bungalows
429,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
438,Kavaratti,IN,81.36,scattered clouds,10.5669,72.642,Green leaf
441,Udala,ES,76.05,scattered clouds,43.0778,-2.5125,Hotel Arrasate
446,Walla Walla,US,80.04,clear sky,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
451,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
456,Kasempa,ZM,78.12,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
461,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
463,Kalmunai,LK,80.51,overcast clouds,7.4167,81.8167,VS Villa
466,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
474,Kieta,PG,78.31,light rain,-6.2167,155.6333,Uruna Bay Retreat
477,Poso,ID,75.49,broken clouds,-1.3959,120.7524,Hotel 77 Poso
478,Morehead,US,79.0,scattered clouds,37.2711,-87.1764,CCI Express Inn
479,Sorong,ID,78.01,light rain,-0.8833,131.25,Waigo Splash Hotel
481,Harper,LR,77.29,overcast clouds,4.375,-7.7169,Screensaver
483,Muros,ES,80.1,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
488,Meadow Lake,US,79.48,few clouds,34.8014,-106.5436,TumbleWeed RV Park
489,Sao Gabriel Da Cachoeira,BR,78.6,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
494,Mandal,IN,75.45,moderate rain,25.45,74.5667,टी star
508,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
510,Mangaluru,IN,79.66,broken clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
517,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
520,Ranong,TH,79.36,scattered clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
530,Daru,PG,76.14,overcast clouds,-9.0763,143.2092,Daru Lodge
534,Monroe,US,75.85,broken clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
535,Havre,FR,81.19,overcast clouds,49.5833,0.3333,gite bois jourdain
537,Castanos,MX,80.35,broken clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
541,Bolshaya Martynovka,RU,79.45,overcast clouds,47.271,41.6679,Gostinitsa
543,Manturovo,RU,80.65,few clouds,58.3353,44.7619,ProstoХостел
548,Paka,MY,80.53,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
549,Tupsan,PH,81.32,overcast clouds,9.1992,124.7769,Algen's Dive Resort
550,Mwinilunga,ZM,78.58,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
556,Broome,US,78.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
559,Upington,ZA,75.58,clear sky,-28.4478,21.2561,River Place Manor
561,Phan Thiet,VN,78.94,overcast clouds,10.9333,108.1,Hotel Saigon-PT
563,Ronneby,SE,79.3,clear sky,56.21,15.276,Hotell Davids Kulle
565,Khazar,RU,79.48,scattered clouds,41.9974,48.3332,Hotel Moryana
571,Manokwari,ID,78.28,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
581,Komsomolets,KZ,76.93,scattered clouds,53.7453,62.0708,Avtostoyanka
583,Nchelenge,ZM,79.14,clear sky,-9.3451,28.734,KD Travellers Home
585,Aloleng,PH,81.9,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
591,Kampong Thum,KH,80.85,scattered clouds,12.7111,104.8887,Sambor Village Hotel
