City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Nemuro,JP,2022-07-25 14:31:36,43.3236,145.575,62.15,93,2,4.74,clear sky
165,Thompson,CA,2022-07-25 14:29:07,55.7435,-97.8558,57.36,88,100,2.3,overcast clouds
166,Kayes,ML,2022-07-25 14:31:37,14.0,-11.0,84.33,62,81,6.31,light rain
167,Tombouctou,ML,2022-07-25 14:31:37,20.0,-3.0,105.48,19,7,6.49,clear sky
168,Beloha,MG,2022-07-25 14:31:37,-25.1667,45.05,67.42,76,26,7.29,scattered clouds
169,Sembe,CG,2022-07-25 14:31:38,1.6481,14.5806,77.34,87,98,4.45,light rain
170,Lebu,CL,2022-07-25 14:31:38,-37.6167,-73.65,54.0,82,100,24.32,overcast clouds
171,Zeya,RU,2022-07-25 14:31:38,53.75,127.2667,68.04,74,35,2.24,scattered clouds
172,Souillac,MU,2022-07-25 14:31:40,-20.5167,57.5167,70.18,78,40,8.05,scattered clouds
173,Manggar,ID,2022-07-25 14:31:40,-2.8833,108.2667,81.23,73,78,12.53,broken clouds
174,Tambacounda,SN,2022-07-25 14:31:41,13.7539,-13.7586,84.25,74,75,6.91,broken clouds
175,Lesnyye Polyany,RU,2022-07-25 14:31:41,55.9667,37.8667,82.02,57,53,7.38,broken clouds
176,Sibu,MY,2022-07-25 14:31:42,2.3,111.8167,75.51,94,40,3.44,scattered clouds
177,Oksfjord,NO,2022-07-25 14:31:42,70.2396,22.3479,59.07,89,100,8.32,overcast clouds
178,Bournemouth,GB,2022-07-25 14:31:42,50.7205,-1.8795,72.88,67,75,14.97,broken clouds
179,Roma,US,2022-07-25 14:31:43,43.2128,-75.4557,76.95,88,75,10.36,broken clouds
180,Jalu,LY,2022-07-25 14:31:43,29.0331,21.5482,102.02,11,1,14.25,clear sky
181,Alyangula,AU,2022-07-25 14:32:44,-13.8483,136.4192,69.31,91,1,7.92,clear sky
182,Ust-Kut,RU,2022-07-25 14:32:44,56.7938,105.7672,62.49,100,100,2.53,moderate rain
183,Nkowakowa,ZA,2022-07-25 14:32:44,-23.8878,30.2871,66.31,43,0,6.02,clear sky
184,Bud,US,2022-07-25 14:32:45,39.447,-86.1758,78.78,80,100,6.33,overcast clouds
185,Codrington,AU,2022-07-25 14:32:45,-38.2667,141.9667,46.65,89,98,14.9,overcast clouds
186,Paamiut,GL,2022-07-25 14:32:46,61.994,-49.6678,44.29,87,4,3.49,clear sky
187,Bubaque,GW,2022-07-25 14:32:46,11.2833,-15.8333,77.43,84,100,6.08,light rain
188,Asekeyevo,RU,2022-07-25 14:32:46,53.5742,52.7972,70.27,79,38,5.46,scattered clouds
189,Jiwani,PK,2022-07-25 14:32:47,25.05,61.7417,81.19,85,100,3.42,overcast clouds
190,Araouane,ML,2022-07-25 14:32:47,18.9048,-3.5265,102.25,22,0,3.94,clear sky
191,Eureka,US,2022-07-25 14:32:04,40.8021,-124.1637,54.21,88,20,1.01,few clouds
192,Meulaboh,ID,2022-07-25 14:32:48,4.1363,96.1285,74.95,96,100,1.66,overcast clouds
193,Kainantu,PG,2022-07-25 14:32:48,-6.2887,145.8655,56.75,93,51,2.13,broken clouds
194,Haines Junction,CA,2022-07-25 14:32:48,60.7522,-137.5108,44.55,100,100,0.0,overcast clouds
195,Provideniya,RU,2022-07-25 14:32:49,64.3833,-173.3,42.17,88,97,7.85,overcast clouds
196,Hithadhoo,MV,2022-07-25 14:32:49,-0.6,73.0833,82.71,72,76,9.93,broken clouds
197,Malakal,SS,2022-07-25 14:32:50,9.5334,31.6605,88.27,59,100,1.74,overcast clouds
198,Biak,ID,2022-07-25 14:32:50,-0.9131,122.8766,75.87,83,95,5.88,overcast clouds
199,Poarta Alba,RO,2022-07-25 14:32:51,44.2167,28.4,83.37,54,0,10.36,clear sky
200,Poum,NC,2022-07-25 14:32:51,-20.2333,164.0167,72.9,77,1,18.3,clear sky
201,Hasaki,JP,2022-07-25 14:32:51,35.7333,140.8333,81.28,93,98,14.83,overcast clouds
202,Puerto Escondido,MX,2022-07-25 14:32:52,15.85,-97.0667,77.83,83,40,9.22,scattered clouds
203,Barbosa,CO,2022-07-25 14:32:52,5.9317,-73.6151,74.5,59,70,0.78,broken clouds
204,Saint-Pierre,RE,2022-07-25 14:32:53,-21.3393,55.4781,71.28,72,75,19.57,broken clouds
205,Cabo San Lucas,MX,2022-07-25 14:31:36,22.8909,-109.9124,81.52,78,100,4.0,overcast clouds
206,Geraldton,AU,2022-07-25 14:31:21,-28.7667,114.6,45.01,87,60,8.05,broken clouds
207,Gamba,GA,2022-07-25 14:32:53,-2.65,10.0,72.79,83,93,9.93,overcast clouds
208,Antalaha,MG,2022-07-25 14:32:54,-14.9003,50.2788,70.68,82,51,10.07,light rain
209,Kaniama,CD,2022-07-25 14:32:54,-7.5667,24.1833,91.15,18,49,3.56,scattered clouds
210,Fairbanks,US,2022-07-25 14:29:56,64.8378,-147.7164,57.6,72,75,0.0,broken clouds
211,Sioux Lookout,CA,2022-07-25 14:32:55,50.1001,-91.917,62.67,72,20,9.22,few clouds
212,Dhadar,IN,2022-07-25 14:32:55,28.3305,75.0632,89.31,56,98,10.49,overcast clouds
213,Ust-Maya,RU,2022-07-25 14:32:56,60.4167,134.5333,55.45,73,28,7.05,scattered clouds
214,Buchanan,LR,2022-07-25 14:32:56,5.8808,-10.0467,79.12,67,79,8.66,broken clouds
215,Sao Joao Da Barra,BR,2022-07-25 14:30:40,-21.6403,-41.0511,77.09,76,17,10.83,few clouds
216,Kumano,JP,2022-07-25 14:32:57,34.3442,132.5894,77.94,91,29,1.05,scattered clouds
217,Airai,TL,2022-07-25 14:32:57,-8.9266,125.4092,54.16,81,12,3.18,few clouds
218,Fortuna,US,2022-07-25 14:32:13,40.5982,-124.1573,53.94,69,20,4.16,few clouds
219,Talnakh,RU,2022-07-25 14:32:57,69.4865,88.3972,60.21,77,57,8.05,broken clouds
220,Chuy,UY,2022-07-25 14:32:58,-33.6971,-53.4616,61.41,92,100,7.87,overcast clouds
221,Sambava,MG,2022-07-25 14:32:58,-14.2667,50.1667,71.17,83,16,12.37,few clouds
222,Verkhoyansk,RU,2022-07-25 14:32:59,67.5447,133.385,64.0,69,40,2.75,scattered clouds
223,Boddam,GB,2022-07-25 14:32:59,57.4667,-1.7833,57.58,86,100,25.99,overcast clouds
224,Pisco,PE,2022-07-25 14:32:59,-13.7,-76.2167,59.05,94,100,2.3,mist
225,Sao Filipe,CV,2022-07-25 14:33:00,14.8961,-24.4956,77.47,89,100,7.85,light rain
226,Klaksvik,FO,2022-07-25 14:34:00,62.2266,-6.589,52.72,84,66,17.45,broken clouds
227,Manbij,SY,2022-07-25 14:34:01,36.5281,37.9549,97.72,8,0,4.47,clear sky
228,Simao,CN,2022-07-25 14:34:01,22.7886,100.9748,69.22,86,77,1.77,broken clouds
229,Lavrentiya,RU,2022-07-25 14:34:02,65.5833,-171.0,40.62,92,100,12.62,overcast clouds
230,Touros,BR,2022-07-25 14:32:47,-5.1989,-35.4608,82.44,62,59,19.66,broken clouds
231,Te Anau,NZ,2022-07-25 14:34:02,-45.4167,167.7167,38.21,93,100,2.39,overcast clouds
232,Kruisfontein,ZA,2022-07-25 14:34:02,-34.0033,24.7314,60.89,57,0,14.0,clear sky
233,Kuusamo,FI,2022-07-25 14:34:03,65.9667,29.1833,68.04,49,0,11.5,clear sky
234,Ngunguru,NZ,2022-07-25 14:34:03,-35.6167,174.5,60.62,89,18,16.78,few clouds
235,Wuxue,CN,2022-07-25 14:34:04,29.8506,115.5525,79.27,82,97,1.63,overcast clouds
236,Vila Franca Do Campo,PT,2022-07-25 14:34:04,37.7167,-25.4333,75.61,79,65,4.97,broken clouds
237,Camalu,MX,2022-07-25 14:34:05,30.85,-116.0667,68.31,82,37,4.38,scattered clouds
238,Nanortalik,GL,2022-07-25 14:34:05,60.1432,-45.2371,43.36,95,100,8.84,overcast clouds
239,Bintulu,MY,2022-07-25 14:34:06,3.1667,113.0333,77.41,94,40,3.44,scattered clouds
240,Belaya Kholunitsa,RU,2022-07-25 14:34:06,58.84,50.8528,71.69,76,97,3.4,light rain
